ID|FirstName|LastName|AuthorInfo|Quotation|Subject
20|Bernard|Mandeville|1670-1733, Dutch-born British Author, Physician|There are many examples of women that have excelled in learning, and even in war, but this is no reason we should bring em all up to Latin and Greek or else military discipline, instead of needle-work and housewifery.|Women
21|Harriet|Martineau|1802-1876, British Writer, Social Critic|If a test of civilization be sought, none can be so sure as the condition of that half of society over which the other half has power.|Women
22|Giuseppe|Mazzini|1805-1872, Italian Patriot, Writer|The angel of the Family is Woman. Mother, wife, or sister, Woman is the caress of life, the soothing sweetness of affection shed over its toils, a reflection for the individual of the loving providence which watches over Humanity. In her there is treasure enough of consoling tenderness to allay every pain. Moreover for every one of us she is the initiator of the future. The mother's first kiss teaches the child love; the first holy kiss of the woman he loves teaches man hope and faith in life; and love and faith create a desire for perfection and the power of reaching towards it step by step; create the future, in short, of which the living symbol is the child, link between us and the generations to come. Through her the Family, with its divine mystery of reproduction, points to Eternity.|Women
23|Phyllis|Mcginley|1905-1978, American Poet, Author|Women are the fulfilled sex. Through our children we are able to produce our own immortality, so we lack that divine restlessness which sends men charging off in pursuit of fortune or fame or an imagined Utopia. That is why we number so few geniuses among us. The wholesome oyster wears no pearl, the healthy whale no ambergris, and as long as we can keep on adding to the race, we harbor a sort of health within ourselves.|Women
24|Golda|Meir|1898-1978, Prime Minister of Israel, 1969-74|To be successful, a woman has to be better at her job than a man.|Women
25|George|Meredith|1828-1909, British Author|I expect that Woman will be the last thing civilized by Man.|Women
26|Kate|Millet|1934-, American Feminist Author|Aren't women prudes if they don't and prostitutes if they do?|Women
27|Kate|Millet|1934-, American Feminist Author|The great mass of women throughout history have been confined to the cultural level of animal life in providing the male with sexual outlet and exercising the animal functions of reproduction and care of the young.|Women
28|Lady  Mary|Wortley Montagu|1689-1762, British Society Figure, Letter Writer|We are educated in the grossest ignorance, and no art omitted to stifle our natural reason; if some few get above their nurses instructions, our knowledge must rest concealed and be as useless to the world as gold in the mine.|Women
29|Iris|Murdoch|1919-, British Novelist, Philosopher|I think being a woman is like being Irish. Everyone says you're important and nice, but you take second place all the same.|Women
30|Cynthia|Nelms||If it weren't for women, men would still be wearing last week's socks.|Women
31|Friedrich|Nietzsche|1844-1900, German Philosopher|If a woman possesses manly virtues one should run away from her; and if she does not possess them she runs away from herself.|Women
32|Friedrich|Nietzsche|1844-1900, German Philosopher|Women are considered deep -- why? Because one can never discover any bottom to them. Women are not even shallow.|Women
33|Anais|Nin|1914-1977, French-born American Novelist, Dancer|Woman does not forget she needs the fecundator, she does not forget that everything that is born of her is planted in her.|Women
34|Aristotle|Onassis|1906-1975, Turkish Born Shipping Magnate|If women didn't exist, all the money in the world would have no meaning.|Women
35|Camille|Paglia|1947-, American Author, Critic, Educator|If civilization had been left in female hands we would still be living in grass huts.|Women
36|Camille|Paglia|1947-, American Author, Critic, Educator|Woman is the dominant sex. Men have to do all sorts of stuff to prove that they are worthy of woman's attention.|Women
37|Luigi|Pirandello|1867-1936, Italian Author, Playwright|Woman -- for example, look at her case! She turns tantalizing inviting glances on you. You seize her. No sooner does she feel herself in your grasp than she closes her eyes. It is a sign of her mission, the sign by which she says to man: ''Blind yourself, for I am blind.''|Women
38|Alexander|Pope|1688-1744, British Poet, Critic, Translator|Most women have no characters at all.|Women
39|Jeannette|Rankin|1880-1973, American Feminist and Pacifist|The individual woman is required a thousand times a day to choose either to accept her appointed role and thereby rescue her good disposition out of the wreckage of her self-respect, or else follow an independent line of behavior and rescue her self-respect out of the wreckage of her good disposition.|Women
40|Nancy|Reagan|1923-, American First Lady, Wife of Former U.S. President, Ronald Reagan|A woman is like a teabag -- only in hot water do you realize how strong she is.|Women
41|Adrienne|Rich|1929-, American Poet|No woman is really an insider in the institutions fathered by masculine consciousness. When we allow ourselves to believe we are, we lose touch with parts of ourselves defined as unacceptable by that consciousness; with the vital toughness and visionary strength of the angry grandmothers, the fierce market women of the Ibo's Women's War, the marriage-resisting women silk workers of pre-Revolutionary China, the millions of widows, midwives, and the women healers tortured and burned as witches for three centuries in Europe.|Women
42|Mickey|Rooney|American Actor|I buy women shoes and they use them to walk away from me.|Women
43|Helen|Rowland|1875-1950, American Journalist|Woman! The peg on which the wit hangs his jest, the preacher his text, the cynic his grouch, and the sinner his justification!|Women
44|Bertrand|Russell|1872-1970, British Philosopher, Mathematician, Essayist|For my part I distrust all generalizations about women, favorable and unfavorable, masculine and feminine, ancient and modern; all alike, I should say, result from paucity of experience.|Women
45|Marquis  De|Sade|1740-1814, French Author|Woman's destiny is to be wanton, like the bitch, the she-wolf; she must belong to all who claim her.|Women
46|George|Sand|1804-1876, French Novelist|If they are ignorant, they are despised, if learned, mocked. In love they are reduced to the status of courtesans. As wives they are treated more as servants than as companions. Men do not love them: they make use of them, they exploit them, and expect, in that way, to make them subject to the law of fidelity.|Women
47|Arthur|Schopenhauer|1788-1860, German Philosopher|Only a male intellect clouded by the sexual drive could call the stunted, narrow-shouldered, broad-hipped and short-legged sex the fair sex.|Women
48|Becky|Sharp||I think I could be a good woman if I had five thousand a year.|Women
49|George  Bernard|Shaw|1856-1950, Irish-born British Dramatist|The only way for a woman to provide for herself decently is for her to be good to some man that can afford to be good to her.|Women
50|Beverly|Sills|American Opera Singer|There is a growing strength in women, but it's in the forehead, not in the forearm.|Women
51|Patricia  Meyer|Spacks||The cliché that women, more consistently than men, turn inward for sustenance seems to mean, in practice, that women have richly defined the ways in which imagination creates possibility; possibility that society denies.|Women
52|Freya|Stark|1893-1993, British Travel Writer|The great and almost only comfort about being a woman is that one can always pretend to be more stupid than one is and no one is surprised.|Women
53|Sir  Richard|Steele|1672-1729, British Dramatist, Essayist, Editor|To behold her is an immediate check to loose behavior; to love her is a liberal education.|Women
54|Gloria|Steinem|1934-, American Feminist Writer, Editor|If women are supposed to be less rational and more emotional at the beginning of our menstrual cycle when the female hormone is at its lowest level, then why isn't it logical to say that, in those few days, women behave the most like the way men behave all month long?|Women
55|Margaret|Thatcher|1925-, British Stateswoman, Prime Minister (1979-90)|Most women defend themselves. It is the female of the species -- it is the tigress and lioness in you -- which tends to defend when attacked.|Women
56|Henry  David|Thoreau|1817-1862, American Essayist, Poet, Naturalist|It requires nothing less than a chivalric feeling to sustain a conversation with a lady.|Women
57|Alexis  De|Tocqueville|1805-1859, French Social Philosopher|I have no hesitation in saying that although the American woman never leaves her domestic sphere and is in some respects very dependent within it, nowhere does she enjoy a higher station. And if anyone asks me what I think the chief cause of the extraordinary prosperity and growing power of this nation, I should answer that it is due to the superiority of their women.|Women
58|Mark|Twain|1835-1910, American Humorist, Writer|I repeat, sir, that in whatever position you place a woman she is an ornament to society and a treasure to the world. As a sweetheart, she has few equals and no superiors; as a cousin, she is convenient; as a wealthy grandmother with an incurable distemper, she is precious; as a wet-nurse, she has no equal among men. What, sir, would the people of the earth be without woman? They would be scarce, sir, almighty scarce.|Women
59|Source|Unknown||The mouth of a cannon is safer that the mouth of a woman scorned.|Women
60|Source|Unknown||Women sometimes seem to share a quiet, unalterable dogma of persecution that endows even the most sophisticated of them with the inarticulate poignancy of the peasant.|Women
61|Source|Unknown||Women, despite the fact that nine out of ten of them go through life with a death-bed air either of snatching-the-last-moment or with martyr-resignation, do not die tomorrow -- or the next day. They have to live on to any one of many bitter ends.|Women
62|Naomi|Weisstein||A typical minority group stereotype -- woman as nigger -- if she knows her place (home), she is really a quite lovable, loving creature, happy and childlike.|Women
63|Fay|Weldon|1933-, British Novelist|The New Women! I could barely recognize them as being of the same sex as myself, their buttocks arrogant in tight jeans, openly inviting, breasts falling free and shameless and feeling no apparent obligation to smile, look pleasant or keep their voices low. And how they live! Just look at them to know how! If a man doesn't bring them to orgasm, they look for another who does. If by mistake they fall pregnant, they abort by vacuum aspiration. If they don't like the food, they push the plate away. If the job doesn't suit them, they hand in their notice. They are satiated by everything, hungry for nothing. They are what I wanted to be; they are what I worked for them to be: and now I see them, I hate them.|Women
64|Orson|Welles|1915-1985, American Film Maker|If there hadn't been women we'd still be squatting in a cave eating raw meat, because we made civilization in order to impress our girl friends. And they tolerated it and let us go ahead and play with our toys.|Women
65|Ella  Wheeler|Wilcox|1855-1919, American Poet, Journalist|Give us that grand word ''woman'' once again, and let's have done with ''lady''; one's a term full of fine force, strong, beautiful, and firm, fit for the noblest use of tongue or pen; and one's a word for lackeys.|Women
66|Lady  Jane|Wilde||We have now traced the history of women from Paradise to the nineteenth century and have heard nothing through the long roll of the ages but the clank of their fetters.|Women
67|Oscar|Wilde|1856-1900, British Author, Wit|Every woman is a rebel, and usually in wild revolt against herself.|Women
68|Oscar|Wilde|1856-1900, British Author, Wit|The strength of women comes from the fact that psychology cannot explain us. Men can be analyzed, women merely adored.|Women
69|Oscar|Wilde|1856-1900, British Author, Wit|There is only one real tragedy in a woman's life. The fact that her past is always her lover, and her future invariably her husband.|Women
70|Tennessee|Williams|1914-1983, American Dramatist|You've got many refinements. I don't think you need to worry about your failure at long division. I mean, after all, you got through short division, and short division is all that a lady ought to be called on to cope with.|Women
71|Virginia|Woolf|1882-1941, British Novelist, Essayist|As a woman I have no country. As a woman my country is the whole world.|Women
72|Virginia|Woolf|1882-1941, British Novelist, Essayist|The truth is, I often like women. I like their unconventionality. I like their completeness. I like their anonymity.|Women
73|Virginia|Woolf|1882-1941, British Novelist, Essayist|Young women... you are, in my opinion, disgracefully ignorant. You have never made a discovery of any sort of importance. You have never shaken an empire or led an army into battle. The plays by Shakespeare are not by you, and you have never introduced a barbarous race to the blessings of civilization. What is your excuse?|Women
74|William|Wycherley|1640-1716, British Dramatist|Women of quality are so civil, you can hardly distinguish love from good breeding.|Women
75|William  Butler|Yeats|1865-1939, Irish Poet, Playwright.|To be born woman is to know -- although they do not speak of it at school -- women must labor to be beautiful.|Women
76||Aristotle|BC 384-322, Greek Philosopher|It was through the feeling of wonder that men now and at first began to philosophize.|Wonder
77|Thomas|Carlyle|1795-1881, Scottish Philosopher, Author|Wonder is the basis of worship.|Wonder
78|Gilbert  K.|Chesterton|1874-1936, British Author|The world will never starve for want of wonders, but for want of wonder.|Wonder
79|Ralph  Waldo|Emerson|1803-1882, American Poet, Essayist|Men love to wonder and that is the seed of our science.|Wonder
80|M.  C.|Escher||He who wonders discovers that this in itself is wonder.|Wonder
81|Abraham  J.|Heschel|1907-1972, Polish educator, Author|Wonder rather than doubt is the root of all knowledge.|Wonder
82|Samuel|Johnson|1709-1784, British Author|All wonder is the effect of novelty on ignorance.|Wonder
83|Charles|Morgan|1894-1958, British Writer|As knowledge increases, wonder deepens.|Wonder
84||Proverb||No wonder lasts over three days.|Wonder
85||Sophocles|BC 495-406, Greek Tragic Poet|Wonders are many, and none is more wonderful than the power that crosses the white sea, driven by the stormy wind, making a path under surges that threaten to engulf him...|Wonder
86|Bishop  Robert|South|1634-1716, British Clergyman|Wonder is from surprise, and surprise stops with experience.|Wonder
87|Winston|Churchill|1874-1965, British Statesman, Prime Minister|This report, by its very length, defends itself against the risk of being read.|Wordiness
88|Joseph|Conrad|1857-1924, Polish-born British Novelist|I dare say I am compelled, unconsciously compelled, now to write volume after volume, as in past years I was compelled to go to sea, voyage after voyage. Leaves must follow upon each other as leagues used to follow in the days gone by, on and on to the appointed end, which, being truth itself, is one -- one for all men and for all occupations.|Wordiness
89|Blaise|Pascal|1623-1662, French Scientist, Religious Philosopher|I have made this letter a rather long one, only because I didn't have the leisure to make it shorter.|Wordiness
90|Abigail|Adams|1744-1818, American Letter Writer|We have too many high-sounding words, and too few actions that correspond with them.|Words
91|Henry  Brooks|Adams|1838-1918, American Historian|No man means all he says, and yet very few say all they mean, for words are slippery and thought is viscous.|Words
92|John|Adams|1735-1826, Second President of the USA|Abuse of words has been the great instrument of sophistry and chicanery, of party, faction, and division of society.|Words
93|William  R.|Alger|1822-1905, American Writer|Words of love, are works of love.|Words
94|Gracie|Allen|1894-1956, American Actress|When I was born I was so surprised I didn't talk for a year and a half.|Words
95|Hannah|Arendt|1906-1975, German-born American Political Philosopher|Nothing we use or hear or touch can be expressed in words that equal what we are given by the senses.|Words
96||Aristophanes|BC 448-380, Greek Comic Poet, Satirist|By words the mind is winged.|Words
97|Burt|Bacharach|1928, American Musician|A synonym is a word you use when you can't spell the word you first thought of.|Words
98|Gaston|Bachelard|1884-1962, French Scientist, Philosopher, Literary Theorist|I am a dreamer of words, of written words. I think I am reading; a word stops me. I leave the page. The syllables of the word begin to move around. Stressed accents begin to invert. The word abandons its meaning like an overload which is too heavy and prevents dreaming. Then words take on other meanings as if they had the right to be young. And the words wander away, looking in the nooks and crannies of vocabulary for new company, bad company.|Words
99|Gaston|Bachelard|1884-1962, French Scientist, Philosopher, Literary Theorist|The words of the world want to make sentences.|Words
100|Samuel|Beckett|1906-1989, Irish Dramatist, Novelist|Words are all we have.|Words
101|Henry  Ward|Beecher|1813-1887, American Preacher, Orator, Writer|All words are pegs to hang ideas on.|Words
102|John|Berger|1926-, British Actor, Critic|Today the discredit of words is very great. Most of the time the media transmit lies. In the face of an intolerable world, words appear to change very little. State power has become congenitally deaf, which is why --but the editorialists forget it --terrorists are reduced to bombs and hijacking.|Words
103||Bible|Sacred Scriptures of Christians and Judaism|The wise weigh their words on a scale with gold.|Words
104|Frederika|Bremer|1801-1865, Swedish Novelist, Feminist, Pacifist|There are words which sever hearts more than sharp swords; there are words the point of which sting the heart through the course of a whole life.|Words
105|Edward  G.|Bulwer-Lytton|1803-1873, British Novelist, Poet|Bu'' is a word that cools many a warm impulse, stifles many a kindly thought, puts a dead stop to many a brotherly deed. No one would ever love his neighbor as himself if he listened to all the ''Buts'' that could be said.|Words
106|William  S.|Burroughs|1914-1997, American Writer|My general theory since 1971 has been that the word is literally a virus, and that it has not been recognized as such because it has achieved a state of relatively stable symbiosis with its human host; that is to say, the word virus (the Other Half) has established itself so firmly as an accepted part of the human organism that it can now sneer at gangster viruses like smallpox and turn them in to the Pasteur Institute.|Words
107|Robert|Burton|1576-1640, British Clergyman, Scholar|A blow with a word strikes deeper than a blow with a sword.|Words
108|Samuel|Butler|1612-1680, British Poet, Satirist|Words are not as satisfactory as we should like them to be, but, like our neighbors, we have got to live with them and must make the best and not the worst of them.|Words
109|Lord|Byron|1788-1824, British Poet|But words are things, and a small drop of ink, falling like dew, upon a thought, produces that which makes thousands, perhaps millions, think.|Words
110|Orson  Scott|Card|American Author|Among my most prized possessions are words that I have never spoken.|Words
111|Dale|Carnegie|1888-1955, American Author, Trainer|You have it easily in your power to increase the sum total of this world's happiness now. How? By giving a few words of sincere appreciation to someone who is lonely or discouraged. Perhaps you will forget tomorrow the kind words you say today, but the recipient may cherish them over a lifetime.|Words
112|Lewis|Carroll|1832-1898, British Writer, Mathematician|When I use a word,'' Humpty Dumpty said in rather a scornful tone,'' it means just what I choose it to mean -- neither more nor less.|Words
113|Willa|Cather|1876-1947, American Author|Give the people a new word and they think they have a new fact.|Words
114|Stuart|Chase|1888-1985, American Writer|I find it difficult to believe that words have no meaning in themselves, hard as I try. Habits of a lifetime are not lightly thrown aside.|Words
115|Malcolm  De|Chazal|1902-1981, French Writer|Our expression and our words never coincide, which is why the animals don't understand us.''|Words
116|Winston|Churchill|1874-1965, British Statesman, Prime Minister|Eating words has never given me indigestion.|Words
117|Winston|Churchill|1874-1965, British Statesman, Prime Minister|I have never developed indigestion from eating my words.|Words
118||Confucius|BC 551-479, Chinese Ethical Teacher, Philosopher|Tsze-Kung asked, saying,  is there one word which may serve as a rule of practice for all one's life?'' The Master said, ''Is not Reciprocity such a word? What you do not want done to yourself, do not do to others.|Words
119||Confucius|BC 551-479, Chinese Ethical Teacher, Philosopher|Without knowing the force of words, it is impossible to know men.|Words
120|Cyril|Connolly|1903-1974, British Critic|Words today are like the shells and rope of seaweed which a child brings home glistening from the beach and which in an hour have lost their luster.|Words
121|Joseph|Conrad|1857-1924, Polish-born British Novelist|A word carries far -- very far -- deals destruction through time as the bullets go flying through space.|Words
122|Joseph|Conrad|1857-1924, Polish-born British Novelist|Words, as is well known, are the great foes of reality.|Words
123|Calvin|Coolidge|1872-1933,  Thirtieth President of the USA|I have never been hurt by what I have not said.|Words
124|Rene|Daumal|1908-1944, French Poet, Critic|Words are made for a certain exactness of thought, as tears are for a certain degree of pain. What is least distinct cannot be named; what is clearest is unutterable.|Words
125|Philip  K.|Dick|1928-1982, American Science Fiction Writer|The basic tool for the manipulation of reality is the manipulation of words. If you can control the meaning of words, you can control the people who must use the words.|Words
126|Emily|Dickinson|1830-1886, American Poet|A word is dead when it is said. Some say. I say it just, begins to live that day.|Words
127|Phyllis|Diller|1861-1951, American Columnist|I've been asked to say a couple of words about my husband, Fang. How about short and cheap?|Words
128|George|Eliot|1819-1880, British Novelist|Our words have wings, but fly not where we would.|Words
129|T.  S.|Eliot|1888-1965, American-born British Poet, Critic|For last year's words belong to last year's language and next year's words await another voice.|Words
130|Ralph|Ellison|1914-1994, American Writer|If the word has the potency to revive and make us free, it has also the power to blind, imprison, and destroy.|Words
131|Ralph  Waldo|Emerson|1803-1882, American Poet, Essayist|It makes a great difference in the force of a sentence, whether a man be behind it or no.|Words
132|Ralph  Waldo|Emerson|1803-1882, American Poet, Essayist|Words are alive; cut them and they bleed.|Words
133|Anatole|France|1844-1924, French Writer|The finest words in the world are only vain sounds if you cannot understand them.|Words
134|Patricia|Fripp|British-Born American Author, Speaker|Words represent your intellect. The sound, gesture and movement represent your feelings.|Words
135|W.|Gladden||Gentle words, quiet words, are after all the most powerful words. They are more convincing, more compelling, more prevailing.|Words
136|Ellen|Glasgow|1874-1945, American Novelist|I haven't much opinion of words. They're apt to set fire to a dry tongue, that's what I say.|Words
137|Johann  Wolfgang|Von Goethe|1749-1832, German Poet, Dramatist, Novelist|Be generous with kindly words, especially about those who are absent.|Words
138|Johann  Wolfgang|Von Goethe|1749-1832, German Poet, Dramatist, Novelist|Every spoken word arouses our self-will.|Words
139|Johann  Wolfgang|Von Goethe|1749-1832, German Poet, Dramatist, Novelist|When ideas fail, words come in very handy.|Words
140|Baltasar|Gracian|1601-1658, Spanish Philosopher, Writer|There is always time to add a word, never to withdraw one.|Words
141|Stephan|Grellet||Keep your words sweet -- you may have to eat them. I expect to pass through this world but once; any good thing therefore that I can do, or any kindness that I can show to any fellow creature, let me do it now; let me not defer or neglect it, for I shall not pass this way again.|Words
142|John  B.|Haldane|1892-1964, British Scientist, Author|In fact, words are well adapted for description and the arousing of emotion, but for many kinds of precise thought other symbols are much better.|Words
143|Source|Unknown||If wishes were horses then beggars would ride.|Wish and Wishing
144|Source|Unknown||Some people develop a wishbone where their backbone should be.|Wish and Wishing
145|Andrew|Young|1932-, Civil Rights Activist, Protestant Minister, Public Official|Wishing of all strategies, is the worst.|Wish and Wishing
146||Aristotle|BC 384-322, Greek Philosopher|Melancholy men are of all others the most witty.|Wit
147||Aristotle|BC 384-322, Greek Philosopher|Wit is educated insolence.|Wit
148|Ambrose|Bierce|1842-1914, American Author, Editor, Journalist, ''The Devil's Dictionary''|Wit. The salt with which the American humorist spoils his intellectual cookery by leaving it out.|Wit
149|Alexander|Chase||The banalities of a great man pass for wit.|Wit
150|Lord|Chesterfield|1694-1773, British Statesman, Author|A wise man will live as much within his wit as within his income.|Wit
151|Lord|Chesterfield|1694-1773, British Statesman, Author|Wit is so shining a quality that everybody admires it; most people aim at it, all people fear it, and few love it unless in themselves. A man must have a good share of wit himself to endure a great share of it in another.|Wit
152|Samuel  Taylor|Coleridge|1772-1834, British Poet, Critic, Philosopher|Humor is consistent with pathos, whilst wit is not.|Wit
153|Noel|Coward|1899-1973, British Writer|Wit ought to be a glorious treat like caviar; never spread it about like marmalade.|Wit
154|William|Cowper|1731-1800, British Poet|A man renowned for repartee will seldom scruple to make free with friendship's finest feeling, will thrust a dagger at your breast, and say he wounded you in jest, by way of balm for healing.|Wit
155|George|Eliot|1819-1880, British Novelist|People who can't be witty exert themselves to be devout and affectionate.|Wit
156|Ralph  Waldo|Emerson|1803-1882, American Poet, Essayist|Wit makes its own welcome, and levels all distinctions. No dignity, no learning, no force of character, can make any stand against good wit.|Wit
157|William|Hazlitt|1778-1830, British Essayist|Wit is the salt of conversation, not the food.|Wit
158|Samuel|Johnson|1709-1784, British Author|He who has provoked the shaft of wit, cannot complain that he smarts from it.|Wit
159|Florence|King|1936-, American Author, Critic|The witty woman is a tragic figure in American life. Wit destroys eroticism and eroticism destroys wit, so women must choose between taking lovers and taking no prisoners.|Wit
160||Lucretius|c.95-55 BC, Roman poet and philosopher|In the midst of the fountain of wit there arises something bitter, which stings in the very flowers.|Wit
161|Horace|Mann|1796-1859, American Educator|Avoid witicisms at the expense of others.|Wit
162|Andre|Maurois|1885-1967, French Writer|To be witty is not enough. One must possess sufficient wit to avoid having too much of it.|Wit
163|Friedrich|Nietzsche|1844-1900, German Philosopher|Wit is the epitaph of an emotion.|Wit
164||Overlung||Wit is brushwood; judgment timber; the one gives the greatest flame, and the other yields the most durable heat; and both meeting make the best fire.|Wit
165|Dorothy|Parker|1893-1967, American Humorous Writer|There's a helluva distance between wisecracking and wit. Wit has truth in it; wisecracking is simply calisthenics with words.|Wit
166|Dorothy|Parker|1893-1967, American Humorous Writer|Wit has truth in it; wisecracking is simply calisthenics with words.|Wit
167|Jean|Paul||Brevity is the body and soul of wit.|Wit
168||Phaedrus|c.1-?, Macedonian Inventor and Writer|Witticisms please as long as we keep them within boundaries, but pushed to excess they cause offense.|Wit
169|Alexander|Pope|1688-1744, British Poet, Critic, Translator|True wit is nature to advantage dressed, what oft was thought, but never so well expressed.|Wit
170|William|Shakespeare|1564-1616, British Poet, Playwright, Actor|He's winding up the watch of his wit. By and by it will strike.|Wit
171|Germaine  De|Stael|1766-1817, French-Swiss Novelist|Wit lies in recognizing the resemblance among things which differ and the difference between things which are alike.|Wit
172|Henry  David|Thoreau|1817-1862, American Essayist, Poet, Naturalist|Sometimes we are inclined to class those who are once-and-a-half witted with the half-witted, because we appreciate only a third part of their wit.|Wit
173|James|Thurber|1894-1961, American Humorist, Illustrator|Humor does not include sarcasm, invalid irony, sardonicism, innuendo, or any other form of cruelty. When these things are raised to a high point they can become wit, but unlike the French and the English, we have not been much good at wit since the days of Benjamin Franklin.|Wit
174|Mark|Twain|1835-1910, American Humorist, Writer|Wit and Humor -- if any difference, it is in duration -- lightning and electric light. Same material, apparently; but one is vivid, and can do damage -- the other fools along and enjoys elaboration.|Wit
175|Mark|Twain|1835-1910, American Humorist, Writer|Wit is the sudden marriage of ideas which, before their union, were not perceived to have any relation.|Wit
176|Source|Unknown||Wit is more often a shield than a lance.|Wit
177|Mark  Van|Doren|1894-1972, American Poet, Critic|Wit is the only wall between us and the dark.|Wit
178|Peter  De|Vries|1910-, American Author|You can make a sordid thing sound like a brilliant drawing-room comedy. Probably a fear we have of facing up to the real issues. Could you say we were guilty of Noel Cowardice?|Wit
179|Roseanne|Barr|American Comedienne|As a housewife, I feel that if the kids are still alive when my husband gets home from work, then hey, I've done my job.|Wives
180|Charles|Baudelaire|1821-1867, French Poet|A sweetheart is a bottle of wine, a wife is a wine bottle.|Wives
181|David|Bissonette||I recently read that love is entirely a matter of chemistry. That must be why my wife treats me like toxic waste.|Wives
182|Francis  H.|Bradley|1846-1924, British Philosopher|Adam knew Eve his wife and she conceived. It is a pity that this is still the only knowledge of their wives at which some men seem to arrive.|Wives
183|Anne|Bradstreet|1612-1672, British Puritan Poet|If ever two were one, then surely we. If ever man were loved by wife, then thee.|Wives
184|Vera|Brittain|1893-1970, British Writer|Meek wifehood is no part of my profession; I am your friend, but never your possession.|Wives
185|Al|Bundy|American TV Character, Married with Children|Once a boy becomes a man, he's a man all his life, but a woman is only sexy until she becomes your wife.|Wives
186|Lord|Byron|1788-1824, British Poet|The fact is that my wife if she had common sense would have more power over me than any other whatsoever, for my heart always alights upon the nearest perch.|Wives
187||Caecilius||She'd have you spew up what you've drunk when you were out.|Wives
188|Barbara|Cartland|1901-, British Novelist|A woman asking ''Am I good? Am I satisfied?'' is extremely selfish. The less women fuss about themselves, the less they talk to other women, the more they try to please their husbands, the happier the marriage is going to be.|Wives
